Date,Open,High,Low,Close,Volume From,Volume To
2017-07-10 12-AM,2599.99,2599.99,2590,2593,33359,15336.99
2017-07-10 01-AM,2593,2604.74,2590.01,2592,45170,23944.6
2017-07-10 02-AM,2592,2598.9,2590.01,2596.14,16.64,43161.32
2017-07-10 03-AM,2596.14,2607.98,2590.02,2594.46,20515,9238.44
2017-07-10 04-AM,2594.46,2602.47,2590.01,2595,45261,31724.96
2017-07-10 05-AM,2595,2601.95,2585,2585,0.8496,2200.29
2017-07-10 06-AM,2585,2593.99,2575,2579.99,46113,10974.33
2017-07-10 07-AM,2579.99,2583.37,2572,2582.95,18050,16748.94
2017-07-10 08-AM,2582.95,2585.94,2572,2579.32,18.28,47214.08
2017-07-10 09-AM,2579.32,2591.99,2572,2578.72,25965,7021.03
2017-07-10 10-AM,2578.72,2600,2573,2573,15646,29544.21
2017-07-10 11-AM,2573,2577.65,2562,2562,43256,12982.74
2017-07-10 12-PM,2562,2577.64,2551,2552.1,15766,8802.63
2017-07-10 01-PM,2552.1,2567.99,2520,2520.21,17.58,44725.17
2017-07-10 02-PM,2520.21,2550.78,2520,2530,43321,24851.12
2017-07-10 03-PM,2530,2548.2,2510.1,2529.65,43171,30467.14
2017-07-10 04-PM,2529.65,2565,2526.97,2542.31,16.38,41715.45
2017-07-10 05-PM,2542.31,2559.29,2520,2520.1,46235,20978.54
2017-07-10 06-PM,2520.1,2526.49,2502.7,2502.7,43142,27733.3
2017-07-10 07-PM,2502.7,2518.79,2500,2514,43166,18290.08
2017-07-10 08-PM,2514,2514,2485,2485,17.28,43176.87
2017-07-10 09-PM,2485,2534.25,2467,2475,43070,30133.36
2017-07-10 10-PM,2475,2476.87,2460,2460,43110,24699.1
2017-07-10 11-PM,2460,2480,2415,2479.97,22.87,55928.35
2017-07-11 12-AM,2479.97,2485.26,2452.01,2474,43224,11127.81
2017-07-11 01-AM,2474,2485.26,2471.9,2485.26,43221,2592.07
2017-07-11 02-AM,2485.26,2485.26,2464,2464.2,18660,6212.32
2017-07-11 03-AM,2464.2,2470.68,2420.54,2420.54,23102,11301.42
2017-07-11 04-AM,2420.54,2454.6,2328.8,2437.11,43.97,105328.21
2017-07-11 05-AM,2437.11,2455,2414.99,2422.29,43170,27376.62
2017-07-11 06-AM,2422.29,2422.29,2341,2353.79,15.36,36373.4
2017-07-11 07-AM,2353.79,2435,2328.8,2395.29,20.86,49269.95
2017-07-11 08-AM,2395.29,2461.27,2386.08,2414.98,20.92,50527.45
2017-07-11 09-AM,2414.98,2489.11,2399.14,2480.3,43323,28874.56
2017-07-11 10-AM,2480.3,2500,2410,2429.05,43169,25394.28
2017-07-11 11-AM,2429.05,2469,2412.02,2432,20029,28125.61
2017-07-11 12-PM,2432,2491,2432,2491,24807,31351.24
2017-07-11 01-PM,2491,2500,2445.97,2455,24381,26355.59
2017-07-11 02-PM,2455,2469,2420,2462.99,14.45,35351.58
2017-07-11 03-PM,2462.99,2462.99,2415.96,2415.97,20576,13558.49
2017-07-11 04-PM,2415.97,2470,2400,2454.6,13.17,32070.44
2017-07-11 05-PM,2454.6,2469.9,2432,2444.68,24838,4106.22
2017-07-11 06-PM,2444.68,2454.48,2388,2407.53,42186,17313.24
2017-07-11 07-PM,2407.53,2453.96,2357,2386.94,45597,26983.86
2017-07-11 08-PM,2386.94,2396,2370.1,2394.99,35278,21330.19
2017-07-11 09-PM,2394.99,2420.53,2382.43,2415,43193,8168.02
2017-07-11 10-PM,2415,2459.46,2400.01,2424.41,31107,9423.33
2017-07-11 11-PM,2424.41,2429,2399.99,2400.41,44927,2960.95
2017-07-12 12-AM,2400.41,2400.91,2350,2386.88,29983,6667.52
2017-07-12 01-AM,2386.88,2400,2342.08,2377.23,14001,12738.35
2017-07-12 02-AM,2377.23,2377.23,2342.08,2372.63,45658,2941.16
2017-07-12 03-AM,2372.63,2401.23,2350,2350,17533,3528.19
2017-07-12 04-AM,2350,2410,2350,2405,11902,19919.3
2017-07-12 05-AM,2405,2409.99,2390.79,2409,43316,9813.35
2017-07-12 06-AM,2409,2415,2385,2415,43346,7422.62
2017-07-12 07-AM,2415,2415,2400.01,2400.03,17046,22757.25
2017-07-12 08-AM,2400.03,2414,2400,2413.99,19.44,46785.43
2017-07-12 09-AM,2413.99,2436.02,2407.51,2407.73,43315,9202.44
2017-07-12 10-AM,2407.73,2442.59,2407.73,2441.41,43556,10194.75
2017-07-12 11-AM,2441.41,2442.59,2420,2425.6,43444,24561.81
2017-07-12 12-PM,2425.6,2442.38,2404,2409.99,45901,22468.67
2017-07-12 01-PM,2409.99,2425,2400.13,2405.65,24959,13706.61
2017-07-12 02-PM,2405.65,2426,2400,2410,43113,31398.13
2017-07-12 03-PM,2410,2457.99,2410,2430,25020,18709.23
2017-07-12 04-PM,2430,2465,2422.26,2441.41,24563,11431.78
2017-07-12 05-PM,2441.41,2465,2426,2445,21.87,53579.23
2017-07-12 06-PM,2445,2445,2426.21,2426.44,30437,14191.07
2017-07-12 07-PM,2426.44,2440,2426.22,2440,43141,24410.7
2017-07-12 08-PM,2440,2454.4,2426.22,2428.31,19207,20749.83
2017-07-12 09-PM,2428.31,2438.99,2390,2424,43291,24421.59
2017-07-12 10-PM,2424,2440.99,2415.96,2426.01,25447,23574.78
2017-07-12 11-PM,2426.01,2439.72,2415,2415,25447,23508.68
2017-07-13 12-AM,2415,2441.1,2415,2424.41,42491,12580.7
2017-07-13 01-AM,2424.41,2437.31,2415.73,2425,35462,7201.79
2017-07-13 02-AM,2425,2437.5,2417.42,2432.32,13.66,33140.81
2017-07-13 03-AM,2432.32,2438.99,2424.41,2438.99,28246,14029.69
2017-07-13 04-AM,2438.99,2451,2425.48,2441,36281,14641.17
2017-07-13 05-AM,2441,2441.51,2402,2416.17,21763,20791.44
2017-07-13 06-AM,2416.17,2419.99,2406.55,2419.22,21337,15875.36
2017-07-13 07-AM,2419.22,2427.92,2410.19,2425.82,45717,7863.26
2017-07-13 08-AM,2425.82,2426.99,2414.5,2418,29037,18870.38
2017-07-13 09-AM,2418,2443.96,2418,2442.15,45383,10339.74
2017-07-13 10-AM,2442.15,2442.15,2424.41,2430,16193,13255.53
2017-07-13 11-AM,2430,2436,2410,2428,35278,21731.45
2017-07-13 12-PM,2428,2437.5,2420.73,2437.48,43104,9952.02
2017-07-13 01-PM,2437.48,2437.48,2437.48,2437.48,0.0,0.0
2017-07-13 02-PM,2437.48,2437.48,2437.48,2437.48,0.0,0.0
2017-07-13 03-PM,2437.48,2437.5,2375,2387.2,20.15,48379.54
2017-07-13 04-PM,2387.2,2403.31,2382.43,2398.4,43266,36003.24
2017-07-13 05-PM,2398.4,2400,2357.61,2367.3,43118,42798.25
2017-07-13 06-PM,2367.3,2385.1,2357.61,2371.89,43114,33214.4
2017-07-13 07-PM,2371.89,2378.61,2358.03,2378.61,43070,28781.47
2017-07-13 08-PM,2378.61,2386.92,2371.97,2372,27820,8920.59
2017-07-13 09-PM,2372,2381.5,2365.01,2365.84,33239,4528.68
2017-07-13 10-PM,2365.84,2388.99,2365,2366.3,36069,26055.36
2017-07-13 11-PM,2366.3,2378.61,2365.29,2378.61,28703,20856.6
2017-07-14 12-AM,2378.61,2382.49,2365.32,2371.9,26359,8810.23
2017-07-14 01-AM,2371.9,2375.28,2351.03,2351.03,27576,18307.07
2017-07-14 02-AM,2351.03,2367.1,2345.98,2353.49,19845,13042.95
2017-07-14 03-AM,2353.49,2362.05,2344.8,2360.69,31564,16129.38
2017-07-14 04-AM,2360.69,2370.32,2348.67,2360.04,42156,14501.85
2017-07-14 05-AM,2360.04,2367,2355.29,2358.6,32082,28060.07
2017-07-14 06-AM,2358.6,2379.9,2355.1,2379.88,29983,6671.51
2017-07-14 07-AM,2379.88,2383.2,2361.86,2362.99,26969,27802.09
2017-07-14 08-AM,2362.99,2385.7,2361.86,2370,43316,9686.86
2017-07-14 09-AM,2370,2382.49,2361.86,2366,43196,15170.65
2017-07-14 10-AM,2366,2371,2362,2364.7,31625,21006.39
2017-07-14 11-AM,2364.7,2390.54,2364.7,2365.9,13.55,32204.87
2017-07-14 12-PM,2365.9,2366.43,2308.73,2311.4,31.42,73676.96
2017-07-14 01-PM,2311.4,2327.67,2308.7,2310.2,16.48,38169.3
2017-07-14 02-PM,2310.2,2319,2293.72,2318.8,39.25,90497.72
2017-07-14 03-PM,2318.8,2321,2293.31,2305,15.32,35266.53
2017-07-14 04-PM,2305,2312.86,2276.41,2280,43233,29924.69
2017-07-14 05-PM,2280,2300.06,2270.2,2273,15.84,36064.37
2017-07-14 06-PM,2273,2296.83,2270.21,2287,45931,23364.39
2017-07-14 07-PM,2287,2300,2270.89,2278.22,23833,10595.14
2017-07-14 08-PM,2278.22,2284.39,2250,2250,43265,33120.6
2017-07-14 09-PM,2250,2264.99,2244,2244,26755,10655.43
2017-07-14 10-PM,2244,2330,2244,2284.65,43225,11538.15
2017-07-14 11-PM,2284.65,2334.4,2272.1,2281.99,45474,16611.27
2017-07-15 12-AM,2281.99,2287.99,2269.14,2279.71,32143,4289.02
2017-07-15 01-AM,2279.71,2300,2279.71,2280.01,35431,4507.38
2017-07-15 02-AM,2280.01,2280.01,2245,2245.08,21671,12629.2
2017-07-15 03-AM,2245.08,2257,2221,2221,42522,13765.63
2017-07-15 04-AM,2221,2287.47,2201,2230,29860,24153.29
2017-07-15 05-AM,2230,2241.23,2206.05,2219.99,36192,6636.95
2017-07-15 06-AM,2219.99,2219.99,2185,2197.4,13.44,29579.96
2017-07-15 07-AM,2197.4,2197.41,2165,2177.29,42248,19955.18
2017-07-15 08-AM,2177.29,2177.29,2151.1,2159,25447,20881.53
2017-07-15 09-AM,2159,2179.99,2144.63,2157.01,28795,25438.15
2017-07-15 10-AM,2157.01,2180,2137.76,2158.7,20729,22739.17
2017-07-15 11-AM,2158.7,2158.7,2112,2125,35886,10584.26
2017-07-15 12-PM,2125,2125,2052,2072.01,14.15,29556.78
2017-07-15 01-PM,2072.01,2119.48,2062.06,2072.01,43287,14014.65
2017-07-15 02-PM,2072.01,2074.76,2000,2025,29.74,60042.96
2017-07-15 03-PM,2025,2030.15,2010,2021.91,43183,48669.97
2017-07-15 04-PM,2021.91,2120,2011,2082.79,27.62,56627.66
2017-07-15 05-PM,2082.79,2132,2074.17,2103.4,21.0,44262.12
2017-07-15 06-PM,2103.4,2133.37,2103.01,2110,15.52,32866.67
2017-07-15 07-PM,2110,2145,2110,2139.58,13.72,29250.09
2017-07-15 08-PM,2139.58,2164.38,2070,2079,20.62,43682.36
2017-07-15 09-PM,2079,2090.07,2063.04,2078.84,34425,10255.98
2017-07-15 10-PM,2078.84,2157.09,2078.84,2115.46,43262,23537.64
2017-07-15 11-PM,2115.46,2122.46,2069.03,2078.8,41671,4483.1
2017-07-16 12-AM,2078.8,2078.8,2050,2050,43405,2284.3
2017-07-16 01-AM,2050,2062.99,2035.71,2055.7,41671,4386.89
2017-07-16 02-AM,2055.7,2082.63,2051.48,2080,46753,2654.9
2017-07-16 03-AM,2080,2101,2076.99,2081.19,24473,3499.27
2017-07-16 04-AM,2081.19,2088.49,2045,2048,14336,9070.16
2017-07-16 05-AM,2048,2061.98,2039.5,2039.5,15432,9045.05
2017-07-16 06-AM,2039.5,2052.58,2013.22,2045.91,17.86,36327.0
2017-07-16 07-AM,2045.91,2045.91,2020.28,2022.1,35431,3990.4
2017-07-16 08-AM,2022.1,2037.87,2002.08,2014.49,17319,13026.85
2017-07-16 09-AM,2014.49,2038.29,1953.53,1953.53,43202,24788.83
2017-07-16 10-AM,1953.53,1970,1940,1941,43358,30923.28
2017-07-16 11-AM,1941,1947,1901,1901,21.89,41987.6
2017-07-16 12-PM,1901,1930,1843.13,1860,43280,56233.93
2017-07-16 01-PM,1860,1941.92,1840,1915,31.42,59705.95
2017-07-16 02-PM,1915,1930,1877.34,1903.78,16984,14156.97
2017-07-16 03-PM,1903.78,1952,1893.01,1910.65,13.51,26134.27
2017-07-16 04-PM,1910.65,1961.44,1910.63,1960,43138,13988.26
2017-07-16 05-PM,1960,1990,1940.01,1984.99,43232,23695.8
2017-07-16 06-PM,1984.99,1990,1920.01,1955,18.31,35898.22
2017-07-16 07-PM,1955,1961.44,1900,1915.2,16.53,31784.36
2017-07-16 08-PM,1915.2,1967.96,1915.2,1921.2,30468,13262.45
2017-07-16 09-PM,1921.2,1940.99,1907.68,1923.83,43103,5964.68
